primary_key,input_street,input_zone,x,y,score,locator,matchAddress,standardizedAddress,addressGrid,message
F10-26793,2740 Rasmussen Road,84098.0,452522.64949232485,4510860.176705813,100.0,AddressPoints.AddressGrid,"2740 RASMUSSEN RD, PARK CITY","2740 Rasmussen Road, 84098",PARK CITY,
F17-56718,4428 Links Dr,84120.0,415760.4269482037,4507988.819462632,100.0,AddressPoints.AddressGrid,"4428 LINKS DR, SALT LAKE CITY",4428 links drive,SALT LAKE CITY,
F19-71722,49 W  300 N,84015.0,413760.4294860831,4552342.8195831515,100.0,AddressPoints.AddressGrid,"49 W 300 N, CLEARFIELD",49 west 300 north,CLEARFIELD,
F10-3933,2250 Deer Valley Drive S,84060.0,459559.5450755496,4498607.158339336,100.0,AddressPoints.AddressGrid,"2250 DEER VALLEY DR S, PARK CITY",2250 deer valley drive south,PARK CITY,
F10-28807,640 W 1100 S,84404.0,416900.4895760434,4566509.070141353,100.0,AddressPoints.AddressGrid,"640 W 1100 S, OGDEN",640 west 1100 south,OGDEN,
F17-57794,243 Park Dr,84532.0,625824.0064077656,4270837.0063915355,100.0,AddressPoints.AddressGrid,"243 PARK DR, MOAB",243 park drive,MOAB,
F10-3632,2156 S 1000 E,84106.0,427112.74896229326,4508542.279384951,100.0,AddressPoints.AddressGrid,"2156 S 1000 E, SALT LAKE CITY",2156 south 1000 east,SALT LAKE CITY,
F10-3861,9310 S State Street,84070.0,424529.1288714583,4492771.070721952,100.0,AddressPoints.AddressGrid,"9310 S STATE ST, SALT LAKE CITY",9310 south state street,SALT LAKE CITY,
F12-32394,248 E 13800 S,84020.0,425168.90812356025,4483672.503236206,100.0,AddressPoints.AddressGrid,"248 E 13800 S, SALT LAKE CITY",248 east 13800 south,SALT LAKE CITY,
F21-87803,238 N Westview Drive,84720.0,313746.51233112847,4172690.1255729,100.0,AddressPoints.AddressGrid,"238 N WESTVIEW DR, CEDAR CITY",238 north westview drive,CEDAR CITY,
F21-87807,3435 Harrison Blvd,84405.0,420349.8378032933,4561486.803452021,100.0,AddressPoints.AddressGrid,"3435 HARRISON BLVD, OGDEN",3435 harrison boulevard,OGDEN,
F21-87808,1285 Monroe Blvd,84403.0,420107.1386962193,4566145.189224281,100.0,AddressPoints.AddressGrid,"1285 MONROE BLVD, OGDEN",1285 monroe boulevard,OGDEN,
F21-87806,3953 Pacific Ave,84405.0,417309.98851088237,4560492.019773399,100.0,AddressPoints.AddressGrid,"3953 PACIFIC AVE, OGDEN",3953 pacific avenue,OGDEN,
F21-87802,981 W Westridge Drive,84770.0,267605.18108253146,4111986.693665885,92.43,AddressPoints.AddressGrid,"981 N WESTRIDGE DR, ST GEORGE",981 west westridge drive,ST GEORGE,
F21-87805,386 W 5150 S,84405.0,417392.76822530595,4558095.523835567,100.0,AddressPoints.AddressGrid,"386 W 5150 S, OGDEN",386 west 5150 south,OGDEN,
F21-87804,248 N Playa Della Rosita,84780.0,276152.3267482406,4112770.686845022,100.0,AddressPoints.AddressGrid,"248 N PLAYA DELLA ROSITA, WASHINGTON",248 north playa della rosita,WASHINGTON,
F21-84400,317 E Main,84003.0,432933.27219680534,4469911.232464275,90.92,AddressPoints.AddressGrid,"317 E MAIN ST, AMERICAN FORK",317 east main,AMERICAN FORK,
F17-59795,12492 S Fort Street,84020.0,426758.1929088003,4486213.253865724,100.0,AddressPoints.AddressGrid,"12492 S FORT ST, SALT LAKE CITY",12492 south fort street,SALT LAKE CITY,
